name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Hugo Boss - Center Court - HB151.4023,Center Court,"
      Hugo Boss","EGP 19,350.00",Men,Unknown,Quartz,Stainless Steel,Stainless Steel,Mineral,1514023
Gucci - Dive Automatic - YA136.363,Dive Automatic,"
      Gucci","EGP 109,330.00",Men,Switzerland,Automatic,Stainless Steel With Uni-directional Ceramic Bezel,Stainless Steel,Sapphire glass with anti-reflective coating,YA136.363
Gucci - Dive Automatic - YA136.364,Dive Automatic,"
      Gucci","EGP 113,990.00",Men,Switzerland,Automatic,Stainless Steel With Uni-directional Ceramic Bezel,Nylon,Sapphire glass with anti reflective coating,YA136.364
Gucci - Diamantissima - YA141.401,Diamantissima,"
      Gucci","EGP 76,370.00",Women,Switzerland,Quartz,Rose gold and black PVD,Leather,Sapphire,YA141.401
Gucci - GG2570 - YA142.303,GG2570,"
      Gucci","EGP 78,650.00",Men,Switzerland,Quartz,Stainless Steel,Stainless Steel,Sapphire glass with anti reflective coating,YA142.303
Gucci - GG2570 - YA142.304,GG2570,"
      Gucci","EGP 72,950.00",Men,Switzerland,Quartz,Stainless Steel,Nylon,Sapphire glass with anti reflective coating,YA142.304
Gucci - GG2570 - YA142.305,GG2570,"
      Gucci","EGP 72,950.00",Men,Switzerland,Quartz,Stainless Steel,Nylon,Sapphire glass with anti reflective coating,YA142.305
Gucci - YA142.316,Unknown,"
      Gucci","EGP 109,330.00",Men,Switzerland,Quartz,Stainless Steel With Black Ceramic Bezel with tachymeter indication,Stainless Steel,Sapphire glass with anti reflective coating,YA142.316
Gucci - YA142.317,Unknown,"
      Gucci","EGP 109,330.00",Men,Switzerland,Quartz,Stainless Steel With Black Ceramic Bezel with tachymeter indication,Stainless Steel,Sapphire glass with anti reflective coating,YA142.317
Gucci - YA142.318,Unknown,"
      Gucci","EGP 109,330.00",Men,Switzerland,Quartz,Stainless Steel With Black Ceramic Bezel with tachymeter indication,Stainless Steel,Sapphire glass with anti reflective coating,YA142.318
Gucci - YA142.330,Unknown,"
      Gucci","EGP 136,690.00",Men,Switzerland,Automatic,"Stainless Steel with black PVD coating, Interlocking G small seconds display, black PVD bezel",Rubber with Textile effect,Sapphire glass with anti reflective coating,YA142.330
Gucci - 25H - YA163.402,25H,"
      Gucci","EGP 81,980.00",Women,Switzerland,Quartz,Stainless Steel,Stainless Steel,Sapphire glass with anti reflective coating,YA163.402
Gucci - 25H - YA163.419,25H,"
      Gucci","EGP 79,310.00",Men,Switzerland,Quartz,Stainless Steel,Leather,Sapphire glass with anti reflective coating,YA163.419
Gucci - G - Flat - YA166.401,G-Flat,"
      Gucci","EGP 128,810.00",Men,Switzerland,Automatic,Stainless Steel,Stainless Steel,Sapphire glass with anti reflective coating,YA166.401
Frederique Constant - Slimline Heart Beat Automatic - FC - 312B4S6,Slimline Heart Beat Automatic,"
      Frederique Constant","EGP 105,560.00",Men,Switzerland,Automatic,Stainless steel,Leather,Sapphire Crystal,FC-312B4S6
Raymond Weil - Maestro Automatic - 2227.PC5.20021,Maestro Automatic,"
      Raymond Weil","EGP 79,690.00",Men,Switzerland,Automatic,Stainless Steel,Leather,Scratch Resistant Sapphire,2227.PC5.20021
Raymond Weil - Toccata - 5385.ST.00659,Toccata,"
      Raymond Weil","EGP 42,070.00",Women,Switzerland,Quartz,Stainless steel,Stainless steel,Sapphire,5385.ST.00659
Casio - General - AQ - S810W - 1A3VDF,General,"
      Casio","EGP 4,895.00",Men,China,Tough solar,Resin,Resin,Mineral,AQ-S810W-1A3VDF
Casio - Baby - G - BA - 110 - 4A1DR,Baby-G,Unknown,"EGP 10,750.00",Unisex,China,Unknown,Resin,Resin,Mineral,BA-110-4A1DR
Casio - G - Shock - DW - 9052GBX - 1A4DR,G-Shock,"
      Casio","EGP 5,695.00",Men,China,Quartz,Resin,Resin,Mineral,DW-9052GBX-1A4DR
Casio - G - Shock - GA - 110HR - 1ADR,G-Shock,"
      Casio","EGP 8,495.00",Men,China,Quartz,Resin,Resin,Mineral,GA-110HR-1ADR
Casio - G - Shock - GA - 400SK - 1A4DR,G-Shock,"
      Casio","EGP 11,495.00",Unisex,China,Quartz,Resin,Resin,Mineral,GA-400SK-1A4DR
Casio - G - Shock - GBD - 800 - 1DR,G-Shock,"
      Casio","EGP 7,995.00",Men,China,Quartz,Resin,Resin,Mineral,GBD-800-1DR
Calvin Klein - Established - K9H216C6,Established,Unknown,"EGP 9,230.00",Unisex,Switzerland,Unknown,Stainless Steel,Leather,Mineral,K9H216C6
